max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,Year_of_Release,artist,category,designer,expansion,publisher,average_rating,users_rated,principal_category,secondary_category,other_category,WeightedAverage
99,30,6,2,30,Mini Mölkky,30,2013,(Uncredited),"Action / Dexterity,Party Game",(Uncredited),no,"Tactic,Tuoterengas",7.54473,74,Action / Dexterity,Party Game,,6.525260813106312
5,30,6,2,15,Pick the Lock,30,2016,Jon Mietling,Bluffing,"Aaron Kluck,Jon Mietling",no,Portal Dragon,5.48852,61,Bluffing,,,6.2780559834635
6,25,8,2,15,Die fiesen 7,25,2015,Rolf Vogt,"Card Game,Party Game",Jacques Zeimet,no,Drei Hasen in der Abendsonne,6.4281,153,Card Game,Party Game,,6.386966289009225
6,60,13,1,30,Tavarua,60,2016,"John Ariosa,Lina Cossette,David Forest",Sports,Cody Miller,no,Far Off Games,7.58127,205,Sports,,,6.725319201025565
5,45,8,2,45,Tokaido Deluxe Edition,45,2015,Xavier Gueniffey Durin,Travel,Antoine Bauza,yes,Funforge,7.96292,329,Travel,,,7.004813470112212
8,120,14,1,20,Zimby Mojo,120,2016,"Jim Felli,Tani Pettit,Naomi Robinson","Fantasy,Fighting",Jim Felli,no,Devious Weasel Games,7.85423,52,Fantasy,Fighting,,6.513785591889535
8,30,10,3,10,Tofu Kingdom,30,2015,unknown,"Bluffing,Deduction",Kuraki Mura,no,"Kuraki Mura B.G. Studio,Swan Panasia Co., Ltd.",6.91051,79,Bluffing,Deduction,,6.4475301843230115
4,60,10,1,45,Baseball Highlights: 2045 – Super Deluxe Edition,60,2015,William Bricker,"Card Game,Science Fiction,Sports",Mike Fitzgerald,no,Eagle-Gryphon Games,8.08967,308,Card Game,Science Fiction,Sports,7.028227780597801
5,30,14,1,30,Tiny Epic Galaxies Deluxe Edition,30,2015,"William Bricker,Benjamin Shulman","Dice,Science Fiction,Space Exploration",Scott Almes,no,Gamelyn Games,7.64392,539,Dice,Science Fiction,Space Exploration,7.0329764838527655
4,30,9,2,15,Burger Up,30,2016,Stephen Gibson,"Card Game,Puzzle",Matthew Parkes,yes,Rule & Make,7.30039,279,Card Game,Puzzle,,6.706031446371018
5,90,13,1,60,Healthy Heart Hospital,90,2015,Chelsea Autio,"Economic,Medical","Anna-Marie Nelson,Scott Nelson",no,Victory Point Games,7.35565,240,Economic,Medical,,6.692629306382464
6,20,6,2,10,Barnyard Roundup,20,2016,Lina Cossette,"Abstract Strategy,Bluffing,Party Game",James Hudson,no,Druid City Games,7.34831,71,Abstract Strategy,Bluffing,Party Game,6.495481080075348
8,50,12,4,20,Tiefe Taschen,50,2016,"Christian Opperer,Gregor Zolynski","Bluffing,Negotiation,Political",Fabian Zimmermann,no,"(Web published),Fobs Games",7.52241,58,Bluffing,Negotiation,Political,6.493708721725848
4,30,8,2,15,4 Gods,30,2016,Ismaël Pommaz,Real-time,Christophe Boelinger,no,"Asmodee,Conclave Editora,Ludically",6.43225,353,Real-time,,,6.398328179042231
4,120,12,2,90,Far East War 1592,120,2016,unknown,"Dice,Miniatures,Wargame",Allen Wang,no,"壬辰 (Imjin Creative),Mizo",7.17493,67,Dice,Miniatures,Wargame,6.468977066530906
6,30,10,3,30,"Here, Kitty, Kitty!",30,2016,Tony Steele,Animals,Kris McCardel Ware,yes,Fireside Games,6.44192,235,Animals,,,6.395973995541529
2,0,14,2,60,Marvel Dice Masters: Civil War,0,2016,unknown,"Collectible Components,Comic Book / Strip,Dice,Fighting","Mike Elliott,Eric M. Lang",yes,"Devir,WizKids",7.71338,228,Collectible Components,Comic Book / Strip,"Dice,Fighting",6.793736712531626
5,80,10,2,30,Quissama,80,2015,unknown,Card Game,Ricardo Spinelli,no,Ludens Spirit,7.40602,50,Card Game,,,6.468164884950951
8,60,13,2,20,Dark Mages,60,2016,unknown,"Card Game,Fantasy",Eric Bleney,no,Bleem Divertissements Inc.,6.95161,62,Card Game,Fantasy,,6.4380596205036005
6,30,8,3,15,Zooscape,30,2015,"Katy Lipscomb,Ryo Nyamo",Card Game,Hisashi Hayashi,no,"OKAZU Brand,Tasty Minstrel Games",6.4681,58,Card Game,,,6.384120943948071
4,240,14,2,180,Star Wars: Rebellion,240,2016,unknown,"Dice,Fighting,Movies / TV / Radio theme,Science Fiction,Wargame",Corey Konieczka,no,"ADC Blackfire Entertainment,Asterion Press,Delta Vision Publishing,Edge Entertainment,Fantasy Flight Games,Galakta,Heidelberger Spieleverlag",8.54484,8142,Dice,Fighting,"Movies / TV / Radio theme,Science Fiction,Wargame",8.41926370825307
4,90,10,2,45,Covert,90,2016,"Luis Francisco,Hokunin,Scott Nicely,Chris Ostrowski","Card Game,Dice,Spies/Secret Agents",Kane Klenko,yes,Renegade Game Studios,7.49832,564,Card Game,Dice,Spies/Secret Agents,6.970152412333668
